filename,transcript,locality
01_koramangala.wav,"Bhai, main Koramangala 5th Block mein hun, aaja jaldi.",Koramangala
02_indiranagar.wav,"Interview hai kal Indiranagar mein, 100 Feet Road pe office hai.",Indiranagar
03_whitefield.wav,"Whitefield bohot door hai yaar, peak time mein 2 ghante lagte hain.",Whitefield
04_electronic_city.wav,"Mera kaam Electronic City Phase 1 mein hai, night shift hai.",Electronic City
05_marathahalli.wav,"Ek kaam kar, Marathahalli bridge ke paas aa ja, wahan milte hain.",Marathahalli
06_jayanagar.wav,"Jayanagar 4th Block mein ek acha tiffin center hai, sham ko chalein?",Jayanagar
07_rajajinagar.wav,"Shift khatam hote hi Rajajinagar main station se bus pakad lena.",Rajajinagar
08_hebbal.wav,"Hebbal flyover pe traffic bahut zyada hai, alternative route lo.",Hebbal
09_yelahanka.wav,"Naya makaan Yelahanka mein liya hai, rent bhi kam hai wahan.",Yelahanka
10_banashankari.wav,"Bus number 500C pakad lo, seedha Banashankari temple tak jaayegi.",Banashankari
11_hsr_layout.wav,"HSR Layout Sector 2 mein ek vacancy hai, tu apply kar.",HSR Layout
12_btm_layout.wav,"BTM Layout 2nd stage pe mera dost rehta hai, ussse pooch.",BTM Layout
13_majestic.wav,"Majestic se KSRTC bus pakad, directly Mysore jaayegi.",Majestic
14_silk_board.wav,"Silk Board junction pe mat ruk, jam mein phans jaayega.",Silk Board
15_bellandur.wav,"Bellandur ke paas ek naya warehouse khula hai, driver chahiye.",Bellandur
16_sarjapur.wav,"Sarjapur Road pe bahut saare IT companies hain, try kar wahan.",Sarjapur
17_bommanahalli.wav,"Bommanahalli mein security guard ki position khali hai, interested hai kya?",Bommanahalli
18_kr_puram.wav,"KR Puram railway station ke paas kaam mil sakta hai, jaake dekh.",KR Puram
19_peenya.wav,"Peenya Industrial Area mein factory workers chahiye, salary bhi theek hai.",Peenya
20_yeshwanthpur.wav,"Yeshwanthpur mandi ke paas loading ka kaam hai, subah 5 baje se.",Yeshwanthpur
